Absolute path,Relative path,Class
D:\lab1\dataset\leopard\0002.jpg,dataset/leopard\0002.jpg,leopard
D:\lab1\dataset\leopard\0003.jpg,dataset/leopard\0003.jpg,leopard
D:\lab1\dataset\leopard\0004.jpg,dataset/leopard\0004.jpg,leopard
D:\lab1\dataset\leopard\0005.jpg,dataset/leopard\0005.jpg,leopard
D:\lab1\dataset\leopard\0006.jpg,dataset/leopard\0006.jpg,leopard
D:\lab1\dataset\leopard\0007.jpg,dataset/leopard\0007.jpg,leopard
D:\lab1\dataset\leopard\0008.jpg,dataset/leopard\0008.jpg,leopard
D:\lab1\dataset\leopard\0009.jpg,dataset/leopard\0009.jpg,leopard
D:\lab1\dataset\leopard\0010.jpg,dataset/leopard\0010.jpg,leopard
D:\lab1\dataset\leopard\0011.jpg,dataset/leopard\0011.jpg,leopard
D:\lab1\dataset\leopard\0012.jpg,dataset/leopard\0012.jpg,leopard
D:\lab1\dataset\leopard\0013.jpg,dataset/leopard\0013.jpg,leopard
D:\lab1\dataset\leopard\0014.jpg,dataset/leopard\0014.jpg,leopard
D:\lab1\dataset\leopard\0015.jpg,dataset/leopard\0015.jpg,leopard
D:\lab1\dataset\leopard\0016.jpg,dataset/leopard\0016.jpg,leopard
D:\lab1\dataset\leopard\0017.jpg,dataset/leopard\0017.jpg,leopard
D:\lab1\dataset\leopard\0018.jpg,dataset/leopard\0018.jpg,leopard
D:\lab1\dataset\leopard\0019.jpg,dataset/leopard\0019.jpg,leopard
D:\lab1\dataset\leopard\0020.jpg,dataset/leopard\0020.jpg,leopard
D:\lab1\dataset\leopard\0021.jpg,dataset/leopard\0021.jpg,leopard
D:\lab1\dataset\leopard\0022.jpg,dataset/leopard\0022.jpg,leopard
D:\lab1\dataset\leopard\0023.jpg,dataset/leopard\0023.jpg,leopard
D:\lab1\dataset\leopard\0024.jpg,dataset/leopard\0024.jpg,leopard
D:\lab1\dataset\leopard\0025.jpg,dataset/leopard\0025.jpg,leopard
